steamid,appid,playtime_forever
76561199208519382,1280770,15
76561199208519382,1289310,45
76561199208519382,1302240,224
76561199208519382,1304930,896
76561199208519382,1407200,213
76561199208519382,1422450,19
76561199208519382,1473480,14
76561199208519382,1560500,559
76561199208519382,1625450,81
76561199208519382,1671340,25
76561199208519382,1681430,843
76561199208519382,1797880,7
76561199208519382,1836120,26
76561199208519382,1891700,96
76561199208519382,1944430,516
76561199208519382,2073850,7
76561199208519382,2093010,6
76561199208519382,2186570,64
76561199208519382,2250040,133
76561199208519382,2306590,93
76561199208519382,2325290,314
76561199208519382,2389240,68
76561199208519382,2506160,168
76561199208519382,2818260,21
76561199208519382,2835570,303
76561199208519382,2881650,702
76561199208519382,2909110,40
76561199208519382,2923300,242
76561199208519382,2977660,81
76561199208519382,3513350,164
76561199208519382,4465480,21
76561199614963063,400,247
76561199614963063,620,893
76561199614963063,730,11156
76561199614963063,227300,109
76561199614963063,236390,132
76561199614963063,240720,13518
76561199614963063,264710,2614
76561199614963063,413150,999
76561199614963063,438040,1321
76561199614963063,444200,102
76561199614963063,504390,6
76561199614963063,599140,1
76561199614963063,601360,52
76561199614963063,613100,1089
76561199614963063,645630,8
76561199614963063,700330,8
76561199614963063,945360,1222
76561199614963063,1061090,921
76561199614963063,1118520,1092
76561199614963063,1222140,1861
76561199614963063,1265920,541
76561199614963063,1269500,5
76561199614963063,1280770,65
76561199614963063,1456200,151
76561199614963063,1462040,2541
76561199614963063,1568590,135
76561199614963063,1593500,1412
76561199614963063,1634080,17
76561199614963063,1665460,198
76561199614963063,1782210,100
76561199614963063,1817070,3267
76561199614963063,1817190,827
76561199614963063,1938090,27
76561199614963063,1977530,59
76561199614963063,2021910,8
76561199614963063,2357570,188
76561199614963063,2483190,7298
76561199614963063,2551020,82
76561199614963063,2651280,1286
76561199614963063,2753000,58
76561199614963063,2909400,470
76561199614963063,2943650,199
76561199614963063,3017580,7
76561199614963063,3354750,331
76561199614963063,3419430,201
76561199614963063,3419520,1031
76561199614963063,3478870,91
76561199614963063,3502270,226
76561199614963063,3513350,92
76561199614963063,4704690,2057
76561198408630774,620,233
76561198408630774,730,12569
76561198408630774,8500,15
76561198408630774,16700,1
76561198408630774,40970,11
76561198408630774,70600,54
76561198408630774,105600,2909
76561198408630774,108600,2778
76561198408630774,200210,18
76561198408630774,217200,12
76561198408630774,227940,50
76561198408630774,228280,427
76561198408630774,233860,2472
76561198408630774,238960,94
76561198408630774,247000,1157
76561198408630774,251570,251
76561198408630774,252490,3968
76561198408630774,268850,459
76561198408630774,271590,6
76561198408630774,282070,345
76561198408630774,282140,829
76561198408630774,286160,6150
76561198408630774,289070,5788
76561198408630774,322330,1004
76561198408630774,359550,3146
76561198408630774,374040,177
76561198408630774,382310,2359
76561198408630774,382560,214
76561198408630774,386360,168
76561198408630774,387990,190
76561198408630774,397540,272
76561198408630774,408900,44
76561198408630774,413150,564
76561198408630774,438100,689
76561198408630774,450390,60
76561198408630774,457550,84
76561198408630774,468700,26
76561198408630774,471710,113
76561198408630774,477200,226
76561198408630774,485610,303
76561198408630774,505230,292
76561198408630774,505460,3278
76561198408630774,518790,310
76561198408630774,559310,2261
76561198408630774,559330,127
76561198408630774,559650,141
76561198408630774,562810,324
76561198408630774,571740,229
76561198408630774,578080,1803
76561198408630774,594650,4239
76561198408630774,606150,267
76561198408630774,619150,163
76561198408630774,632360,431
76561198408630774,632470,1818
76561198408630774,638230,117
76561198408630774,646570,1465
76561198408630774,711810,18
76561198408630774,714010,597
76561198408630774,740250,343
76561198408630774,744900,25
76561198408630774,751630,372
76561198408630774,770720,172
76561198408630774,813780,294
76561198408630774,813820,32
76561198408630774,815370,843
76561198408630774,823130,15
76561198408630774,843380,7
76561198408630774,868270,208
76561198408630774,892970,3357
76561198408630774,975370,4128
76561198408630774,1025580,50
76561198408630774,1063730,2898
76561198408630774,1085660,9
76561198408630774,1086940,16698
76561198408630774,1128810,65
76561198408630774,1152340,693
76561198408630774,1169040,1835
76561198408630774,1170970,23
76561198408630774,1172470,4342
76561198408630774,1172620,1309
76561198408630774,1186040,8
76561198408630774,1206560,825
76561198408630774,1240440,992
76561198408630774,1245620,4240
76561198408630774,1248130,1374
76561198408630774,1278480,1552
76561198408630774,1325860,8
76561198408630774,1326470,2704
76561198408630774,1349230,114
76561198408630774,1408230,161
76561198408630774,1408720,9
76561198408630774,1431300,296
76561198408630774,1469280,56
76561198408630774,1484280,927
76561198408630774,1540210,200
76561198408630774,1551360,168
76561198408630774,1599560,265
76561198408630774,1621690,4389
76561198408630774,1766100,64
76561198408630774,1771300,1267
76561198408630774,1789480,1548
76561198408630774,1794680,1021
76561198408630774,1805360,13
76561198408630774,1808500,3922
76561198408630774,1850570,690
76561198408630774,1943950,66
76561198408630774,1982040,95
76561198408630774,2051620,593
76561198408630774,2139460,411
76561198408630774,2225070,131
76561198408630774,2300320,159
76561198408630774,2344320,623
76561198408630774,2444170,1657
76561198408630774,2448970,234
76561198408630774,2567870,346
76561198408630774,2641470,40
76561198408630774,2767030,436
76561198408630774,2791440,557
76561198408630774,2807960,4498
76561198408630774,2827200,393
76561198408630774,2828860,1289
76561198408630774,3146520,589
76561198408630774,3241660,338
76561198408630774,3527290,725
76561198408630774,4128260,153
76561198408630774,4576510,105
76561198021094241,10,85
76561198021094241,80,1
76561198021094241,220,34
76561198021094241,240,2187
76561198021094241,400,225
76561198021094241,440,1729
76561198021094241,550,621
76561198021094241,570,114
76561198021094241,620,1284
76561198021094241,730,98232
76561198021094241,1250,218
76561198021094241,2200,171
76561198021094241,2400,44
76561198021094241,3480,27
76561198021094241,3700,8
76561198021094241,3830,1
76561198021094241,4000,9953
76561198021094241,7520,1
76561198021094241,7670,35
76561198021094241,7940,118
76561198021094241,8190,36
76561198021094241,8870,5
76561198021094241,10090,652
76561198021094241,10180,95
76561198021094241,10190,3331
76561198021094241,10680,511
76561198021094241,12130,71
76561198021094241,12140,79
76561198021094241,13230,40
76561198021094241,15700,1
76561198021094241,21690,146
76561198021094241,22350,14
76561198021094241,22370,1
76561198021094241,22380,69
76561198021094241,24740,18
76561198021094241,34270,1
76561198021094241,34900,8
76561198021094241,35140,504
76561198021094241,38400,100
76561198021094241,39000,32
76561198021094241,40800,35
76561198021094241,42680,58
76561198021094241,42690,711
76561198021094241,42700,16
76561198021094241,42710,1448
76561198021094241,49520,883
76561198021094241,55150,1
76561198021094241,55230,136
76561198021094241,57690,1
76561198021094241,63380,12
76561198021094241,70000,29
76561198021094241,70300,6
76561198021094241,72850,155
76561198021094241,96000,1
76561198021094241,104900,110
76561198021094241,105600,32
76561198021094241,107410,246
76561198021094241,108600,190
76561198021094241,200170,591
76561198021094241,200260,753
76561198021094241,201810,117
76561198021094241,202990,867
76561198021094241,203140,255
76561198021094241,203160,52
76561198021094241,203290,33
76561198021094241,203770,1
76561198021094241,204450,133
76561198021094241,205100,230
76561198021094241,207140,3289
76561198021094241,207610,51
76561198021094241,208650,1905
76561198021094241,209000,42
76561198021094241,209170,207
76561198021094241,209660,50
76561198021094241,212800,10
76561198021094241,212910,349
76561198021094241,213670,566
76561198021094241,214490,156
76561198021094241,218620,664
76561198021094241,218640,1
76561198021094241,218680,25
76561198021094241,219150,544
76561198021094241,219640,502
76561198021094241,219890,28
76561198021094241,220240,11
76561198021094241,221040,1
76561198021094241,221100,463
76561198021094241,221680,436
76561198021094241,222480,1
76561198021094241,222880,180
76561198021094241,223470,7
76561198021094241,223710,14
76561198021094241,224860,5
76561198021094241,225420,5
76561198021094241,225540,55
76561198021094241,230410,267
76561198021094241,231430,1
76561198021094241,232790,5
76561198021094241,232910,315
76561198021094241,233130,1
76561198021094241,233450,433
76561198021094241,234140,140
76561198021094241,234710,26
76561198021094241,235800,108
76561198021094241,236690,45
76561198021094241,236870,131
76561198021094241,238010,1
76561198021094241,238090,119
76561198021094241,238320,1
76561198021094241,238370,22
76561198021094241,238960,125
