final_player_id,total_library_games,total_played_games,total_playtime_minutes,categorized_games,categorized_played_games,category_game_coverage,category_playtime_coverage,avg_playtime_per_played_game_minutes,games_combat,played_games_combat,games_exploration,played_games_exploration,games_strategic_reasoning,played_games_strategic_reasoning,games_shooter,played_games_shooter,games_melee,played_games_melee,games_action_other,played_games_action_other,games_open_world,played_games_open_world,games_narrative_exploration,played_games_narrative_exploration,games_investigation,played_games_investigation,games_logic_puzzle,played_games_logic_puzzle,games_planning_management,played_games_planning_management,games_strategy_decision,played_games_strategy_decision,games_observation_deduction,played_games_observation_deduction,macro_target
general_final_0157,32,23,5114,24,15,0.75,0.949746,222.347826,10,10,10,5,4,0,9,9,1,1,0,0,1,1,5,2,4,2,2,0,0,0,2,0,0,0,combat
general_final_0158,43,35,208125,37,32,0.860465,0.997881,5946.428571,26,23,7,6,4,3,18,16,3,3,2,1,4,4,2,2,0,0,1,1,0,0,2,1,0,0,combat
general_final_0159,46,44,101182,34,33,0.73913,0.9154,2299.590909,21,21,8,7,5,5,8,8,5,5,3,3,5,4,2,2,1,1,1,1,2,2,1,1,0,0,combat
general_final_0160,9,8,7537,5,4,0.555556,0.959666,942.125,1,1,2,1,2,2,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,combat
general_final_0161,170,149,226953,131,116,0.770588,0.886822,1523.174497,65,62,48,37,18,17,32,31,10,9,16,15,25,20,13,7,5,5,2,1,5,5,7,7,0,0,combat
general_final_0164,38,11,6193,30,7,0.789474,0.725012,563.0,14,5,7,1,9,1,9,5,1,0,4,0,1,0,6,1,0,0,2,0,2,1,5,0,0,0,strategic_reasoning
general_final_0165,154,119,373134,124,96,0.805195,0.889059,3135.579832,62,55,44,29,18,12,39,36,7,6,10,7,11,8,21,12,12,9,1,0,2,1,14,10,0,0,strategic_reasoning
general_final_0166,4,4,32842,3,3,0.75,0.979752,8210.5,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,strategic_reasoning
general_final_0167,755,565,1322799,559,447,0.740397,0.866639,2341.237168,273,215,187,144,99,88,195,165,31,24,41,23,67,54,78,63,31,22,12,12,23,22,61,52,0,0,combat
general_final_0170,43,41,69111,31,30,0.72093,0.743109,1685.634146,17,16,7,7,7,7,9,9,2,2,1,1,3,3,0,0,3,3,2,2,1,1,3,3,0,0,combat
