final_player_id,total_library_games,total_played_games,total_playtime_minutes,categorized_games,categorized_played_games,category_game_coverage,category_playtime_coverage,avg_playtime_per_played_game_minutes,games_combat,played_games_combat,games_exploration,played_games_exploration,games_strategic_reasoning,played_games_strategic_reasoning,games_shooter,played_games_shooter,games_melee,played_games_melee,games_action_other,played_games_action_other,games_open_world,played_games_open_world,games_narrative_exploration,played_games_narrative_exploration,games_investigation,played_games_investigation,games_logic_puzzle,played_games_logic_puzzle,games_planning_management,played_games_planning_management,games_strategy_decision,played_games_strategy_decision,games_observation_deduction,played_games_observation_deduction,game_share_combat,game_share_exploration,game_share_strategic_reasoning,played_game_share_combat,played_game_share_exploration,played_game_share_strategic_reasoning,has_recent_activity,recent_total_playtime_minutes,recent_active_games,recent_categorized_playtime_minutes,recent_categorized_active_games,recent_category_playtime_coverage,recent_active_games_combat,recent_active_games_exploration,recent_active_games_strategic_reasoning,recent_active_game_share_combat,recent_active_game_share_exploration,recent_active_game_share_strategic_reasoning,macro_target
general_final_0077,64,50,115738,52,39,0.8125,0.79044,2314.76,11,7,27,19,14,13,5,3,4,2,2,2,12,10,6,5,7,4,0,0,6,6,8,7,0,0,0.2115384615384615,0.5192307692307693,0.2692307692307692,0.1794871794871795,0.4871794871794871,0.3333333333333333,1,78.0,2,29.0,1,0.3717948717948718,0,1,0,0.0,1.0,0.0,strategic_reasoning
general_final_0078,139,93,22270,108,68,0.776978,0.790436,239.462366,38,29,55,35,15,4,31,25,3,2,2,1,2,0,40,28,8,3,12,3,1,1,2,0,0,0,0.3518518518518518,0.5092592592592593,0.1388888888888889,0.4264705882352941,0.5147058823529411,0.0588235294117647,1,1441.0,12,388.0,9,0.2692574600971547,4,5,0,0.4444444444444444,0.5555555555555556,0.0,combat
general_final_0079,90,87,42400,69,66,0.766667,0.934858,487.356322,36,34,26,25,7,7,28,27,2,2,4,3,11,11,7,7,7,6,3,3,2,2,1,1,0,0,0.5217391304347826,0.3768115942028985,0.1014492753623188,0.5151515151515151,0.3787878787878788,0.106060606060606,1,1227.0,11,1203.0,9,0.980440097799511,6,2,1,0.6666666666666666,0.2222222222222222,0.1111111111111111,combat
general_final_0080,109,95,56252,89,78,0.816514,0.915061,592.126316,34,33,44,36,11,9,20,19,4,4,5,5,10,9,25,19,6,5,4,3,2,2,4,3,0,0,0.3820224719101123,0.4943820224719101,0.1235955056179775,0.4230769230769231,0.4615384615384615,0.1153846153846153,1,4419.0,14,3587.0,12,0.8117221090744512,4,6,2,0.3333333333333333,0.5,0.1666666666666666,exploration
general_final_0086,55,42,63149,43,32,0.781818,0.835405,1503.547619,23,19,16,11,4,2,20,18,0,0,3,1,9,8,5,1,2,2,1,0,0,0,2,1,0,0,0.5348837209302325,0.3720930232558139,0.0930232558139534,0.59375,0.34375,0.0625,1,2016.0,4,2016.0,4,1.0,3,1,0,0.75,0.25,0.0,exploration
general_final_0089,79,53,42585,63,43,0.797468,0.820007,803.490566,14,10,49,33,0,0,7,5,5,3,2,2,9,8,32,20,7,5,0,0,0,0,0,0,0,0,0.2222222222222222,0.7777777777777778,0.0,0.2325581395348837,0.7674418604651163,0.0,1,239.0,8,236.0,5,0.98744769874477,3,2,0,0.6,0.4,0.0,exploration
general_final_0093,8,7,1608,4,4,0.5,0.776119,229.714286,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.5,0.0,0.5,0.5,0.0,0.5,1,304.0,1,0.0,0,0.0,0,0,0,0.0,0.0,0.0,strategic_reasoning
general_final_0095,48,32,173446,42,28,0.875,0.861922,5420.1875,10,6,28,18,4,4,6,2,1,1,2,2,7,3,13,10,8,5,0,0,0,0,4,4,0,0,0.238095238095238,0.6666666666666666,0.0952380952380952,0.2142857142857142,0.6428571428571429,0.1428571428571428,1,1374.0,7,1273.0,6,0.9264919941775837,1,3,2,0.1666666666666666,0.5,0.3333333333333333,exploration
general_final_0096,55,36,12882,46,31,0.836364,0.769135,357.833333,14,12,29,18,3,1,6,6,2,2,4,2,13,12,14,5,2,1,0,0,0,0,3,1,0,0,0.3043478260869565,0.6304347826086957,0.0652173913043478,0.3870967741935484,0.5806451612903226,0.032258064516129,1,2031.0,3,2031.0,3,1.0,1,2,0,0.3333333333333333,0.6666666666666666,0.0,exploration
general_final_0097,228,182,226032,135,109,0.592105,0.882194,1241.934066,39,26,57,48,39,35,8,4,10,9,21,13,18,15,26,21,12,12,20,17,7,7,11,10,0,0,0.2888888888888888,0.4222222222222222,0.2888888888888888,0.2385321100917431,0.4403669724770642,0.3211009174311927,1,10.0,2,10.0,2,1.0,0,1,1,0.0,0.5,0.5,exploration
