final_player_id,total_library_games,total_played_games,total_playtime_minutes,categorized_games,categorized_played_games,category_game_coverage,category_playtime_coverage,avg_playtime_per_played_game_minutes,games_combat,played_games_combat,games_exploration,played_games_exploration,games_strategic_reasoning,played_games_strategic_reasoning,games_shooter,played_games_shooter,games_melee,played_games_melee,games_action_other,played_games_action_other,games_open_world,played_games_open_world,games_narrative_exploration,played_games_narrative_exploration,games_investigation,played_games_investigation,games_logic_puzzle,played_games_logic_puzzle,games_planning_management,played_games_planning_management,games_strategy_decision,played_games_strategy_decision,games_observation_deduction,played_games_observation_deduction,exploration_subgroup_target
general_final_0097,228,182,226032,135,109,0.592105,0.882194,1241.934066,39,26,57,48,39,35,8,4,10,9,21,13,18,15,26,21,12,12,20,17,7,7,11,10,0,0,investigation
general_final_0106,51,11,4881,40,7,0.784314,0.90002,443.727273,10,4,23,3,7,0,7,4,2,0,1,0,6,1,13,2,4,0,2,0,1,0,4,0,0,0,narrative_exploration
general_final_0109,44,42,25872,26,24,0.590909,0.878053,616.0,14,13,9,8,3,3,11,10,0,0,0,0,2,2,4,3,3,3,0,0,3,3,0,0,0,0,investigation
general_final_0110,1210,769,405201,1039,664,0.858678,0.854435,526.919376,356,251,444,278,239,135,151,107,78,55,121,85,87,56,209,132,143,87,111,75,37,17,87,41,0,0,narrative_exploration
general_final_0112,112,81,186793,89,65,0.794643,0.883711,2306.08642,33,24,48,38,8,3,21,12,7,7,4,4,12,9,21,17,15,12,1,0,3,3,4,0,0,0,open_world
general_final_0118,237,212,310689,184,167,0.776371,0.736904,1465.514151,82,75,82,76,20,16,52,46,10,10,10,9,34,32,14,10,23,23,6,4,6,6,5,4,0,0,open_world
general_final_0122,44,38,56512,36,32,0.818182,0.869072,1487.157895,13,10,21,20,2,2,8,6,1,1,3,3,7,7,7,6,3,3,2,2,0,0,0,0,0,0,open_world
general_final_0126,253,54,43630,218,48,0.86166,0.949072,807.962963,97,31,100,17,21,0,62,19,11,3,19,7,25,6,55,8,19,3,8,0,1,0,12,0,0,0,investigation
general_final_0144,203,86,42048,171,72,0.842365,0.878995,488.930233,72,32,71,31,28,9,54,30,3,1,10,1,21,14,31,11,18,6,12,3,4,3,11,2,0,0,open_world
general_final_0187,62,53,85574,49,41,0.790323,0.959836,1614.603774,22,18,19,15,8,8,13,11,1,1,6,4,9,8,4,2,6,5,2,2,3,3,3,3,0,0,open_world
general_final_0198,96,79,199018,76,61,0.791667,0.799174,2519.21519,38,31,29,22,9,8,26,19,5,5,4,4,15,11,8,5,6,6,3,2,2,2,4,4,0,0,open_world
general_final_0200,723,489,718137,581,387,0.803596,0.910525,1468.582822,190,134,251,176,140,77,110,79,27,18,49,35,86,68,95,58,63,46,39,23,25,17,72,33,0,0,open_world
general_final_0203,28,12,19369,24,10,0.857143,0.998193,1614.083333,9,5,14,4,1,1,5,2,1,1,3,2,6,1,5,2,3,1,0,0,0,0,1,1,0,0,open_world
general_final_0205,118,86,178751,89,64,0.754237,0.818569,2078.5,28,19,50,36,11,9,17,11,4,3,6,5,14,9,18,14,18,13,8,6,0,0,2,2,0,0,open_world
general_final_0211,55,46,51150,36,29,0.654545,0.894839,1111.956522,11,9,13,10,12,10,9,7,0,0,1,1,6,6,4,2,3,2,2,2,2,2,4,2,1,1,open_world
general_final_0213,68,59,106026,56,50,0.823529,0.954926,1797.050847,19,16,33,30,4,4,13,10,4,4,2,2,5,5,20,17,6,6,2,2,0,0,1,1,0,0,investigation
general_final_0219,79,64,239380,67,55,0.848101,0.934777,3740.3125,24,20,33,30,10,5,21,18,1,1,1,1,19,18,9,8,4,4,3,2,1,0,5,2,0,0,open_world
general_final_0220,162,70,283147,129,53,0.796296,0.912862,4044.957143,46,11,52,26,31,16,42,9,1,1,2,1,24,12,16,5,11,9,1,0,3,0,27,16,0,0,open_world
general_final_0228,128,127,77940,89,88,0.695312,0.924698,613.700787,45,45,25,24,19,19,26,26,5,5,4,4,13,12,3,3,5,5,3,3,8,8,4,4,1,1,open_world
general_final_0234,110,97,158336,89,77,0.809091,0.881474,1632.329897,27,26,32,31,30,20,17,16,1,1,6,6,9,9,7,7,16,15,7,6,5,4,14,10,4,0,open_world
general_final_0235,156,110,228587,116,79,0.74359,0.773106,2078.063636,27,16,58,34,31,29,15,9,5,4,3,1,28,14,14,9,15,10,8,7,15,15,5,5,0,0,open_world
general_final_0245,212,168,239998,169,135,0.79717,0.834819,1428.559524,53,46,103,77,13,12,31,27,9,7,11,10,24,18,54,38,20,16,2,1,5,5,4,4,0,0,narrative_exploration
general_final_0249,114,70,74544,87,50,0.763158,0.790218,1064.914286,28,17,44,27,15,6,16,10,6,4,6,3,24,16,12,6,8,5,5,2,3,2,7,2,0,0,open_world
general_final_0263,43,32,8342,33,25,0.767442,0.947495,260.6875,20,15,9,8,4,2,18,14,0,0,1,0,5,5,2,1,2,2,1,0,1,0,2,2,0,0,investigation
general_final_0264,11,11,4636,9,9,0.818182,0.880285,421.454545,3,3,6,6,0,0,2,2,0,0,0,0,3,3,2,2,1,1,0,0,0,0,0,0,0,0,open_world
general_final_0265,65,42,75222,59,36,0.907692,0.882893,1791.0,37,17,21,18,1,1,31,13,1,1,5,3,4,3,8,7,8,7,0,0,1,1,0,0,0,0,investigation
general_final_0271,31,19,21071,28,17,0.903226,0.865692,1109.0,8,4,13,6,7,7,1,0,4,1,3,3,5,3,3,1,4,2,1,1,2,2,3,3,0,0,open_world
general_final_0276,505,239,291729,358,151,0.708911,0.834473,1220.623431,128,45,150,84,80,22,78,34,7,1,38,8,62,49,49,13,35,20,39,7,14,8,26,7,0,0,open_world
general_final_0288,379,250,772096,297,201,0.783641,0.868654,3088.384,44,23,126,89,127,89,16,5,10,8,17,10,46,36,56,37,23,16,64,51,16,13,41,21,0,0,open_world
