steamid,hours_exploration_rpg,games_exploration_rpg,hours_exploration_open_world,games_exploration_open_world,hours_exploration_adventure,games_exploration_adventure,total_playtime,num_games,avg_playtime_per_game,exploration_rpg,exploration_open_world,exploration_adventure,diversity,entropy,dominance,second_max,gap,target
76561198750649660,6.466666666666667,4,265.6,17,33.266666666666666,4,305.3333333333333,25,12.213333333333333,0.021179039301310047,0.8698689956331879,0.10895196506550218,3,0.641192068636123,0.8698689956331879,0.10895196506550218,0.7609170305676857,exploration_open_world
76561198768578988,0.0,0,0.0,0,0.7166666666666667,1,0.7166666666666667,1,0.7166666666666667,0.0,0.0,1.0,1,-0.0,1.0,0.0,1.0,exploration_adventure
76561198772435366,0.0,0,0.18333333333333332,1,0.0,0,0.18333333333333332,1,0.18333333333333332,0.0,1.0,0.0,1,-0.0,1.0,0.0,1.0,exploration_open_world
76561198783881312,0.0,0,19.766666666666666,2,0.0,0,19.766666666666666,2,9.883333333333333,0.0,1.0,0.0,1,-0.0,1.0,0.0,1.0,exploration_open_world
76561198784632981,0.0,0,37.96666666666667,3,2.3666666666666667,1,40.333333333333336,4,10.083333333333334,0.0,0.9413223140495868,0.05867768595041322,2,0.3221733076988397,0.9413223140495868,0.05867768595041322,0.8826446280991735,exploration_open_world
76561198799814214,291.6166666666667,8,997.6833333333333,32,55.9,8,1345.2,48,28.025000000000002,0.21678313014173853,0.7416617107741104,0.041555159084151055,3,0.9886226735482855,0.7416617107741104,0.21678313014173853,0.5248785806323718,exploration_open_world
76561198807861778,0.11666666666666667,1,422.75,15,6.316666666666666,3,429.18333333333334,19,22.58859649122807,0.00027183410352996,0.9850102908624908,0.014717875033979262,3,0.11425976216037964,0.9850102908624908,0.014717875033979262,0.9702924158285116,exploration_open_world
76561198813665474,2016.9833333333333,42,386.56666666666666,28,163.91666666666666,7,2567.4666666666667,77,33.343722943722945,0.7855928022434566,0.15056346073950977,0.06384373701703365,3,0.9381895311569793,0.7855928022434566,0.15056346073950977,0.6350293415039469,exploration_rpg
76561198814167257,85.1,6,435.75,12,48.38333333333333,3,569.2333333333333,21,27.106349206349208,0.14949932657961,0.7655033085436552,0.08499736487673479,3,1.007299928926743,0.7655033085436552,0.14949932657961,0.6160039819640453,exploration_open_world
76561198826956274,273.9,8,496.81666666666666,27,29.766666666666666,5,800.4833333333333,40,20.012083333333333,0.34216827333486016,0.6206458597930417,0.03718586687209811,3,1.1331120657694493,0.6206458597930417,0.34216827333486016,0.2784775864581815,exploration_open_world
76561198833154411,553.6166666666667,32,1653.1333333333334,47,91.05000000000001,8,2297.8,87,26.411494252873567,0.24093335654394057,0.7194417848956973,0.03962485856036209,3,1.0210287389099226,0.7194417848956973,0.24093335654394057,0.4785084283517568,exploration_open_world
76561198846653510,1001.0166666666667,34,3468.9000000000005,23,68.2,16,4538.116666666667,73,62.16598173515982,0.22057975591930573,0.7643919834586301,0.01502826062206422,3,0.8683062903601557,0.7643919834586301,0.22057975591930573,0.5438122275393245,exploration_open_world
76561198849962442,0.35,1,79.48333333333333,10,44.583333333333336,5,124.41666666666666,16,7.776041666666666,0.002813127930341594,0.6388479571332888,0.35833891493636977,3,0.9673819123959824,0.6388479571332888,0.35833891493636977,0.280509042196919,exploration_open_world
76561198849975124,182.4,30,914.8833333333333,52,162.26666666666665,36,1259.55,118,10.67415254237288,0.14481362391330238,0.7263572969182116,0.1288290791684861,3,1.1196120422460991,0.7263572969182116,0.14481362391330238,0.5815436730049093,exploration_open_world
76561198856202641,119.83333333333334,6,4970.866666666667,42,50.56666666666666,7,5141.266666666666,55,93.47757575757575,0.023308134182237844,0.9668564167066482,0.009835449111113993,3,0.23899606499993586,0.9668564167066482,0.023308134182237844,0.9435482825244104,exploration_open_world
76561198863254785,744.5166666666667,25,385.95,44,82.56666666666666,20,1213.0333333333333,89,13.629588014981273,0.6137643922947982,0.3181693275809953,0.06806628012420653,3,1.221784762537674,0.6137643922947982,0.3181693275809953,0.29559506471380287,exploration_rpg
76561198865761149,201.26666666666665,22,915.3166666666667,40,17.666666666666668,9,1134.2500000000002,71,15.97535211267606,0.1774447138343986,0.8069796488134596,0.015575637352141647,3,0.7858472630609086,0.8069796488134596,0.1774447138343986,0.629534934979061,exploration_open_world
76561198866375958,437.6,9,1232.0,30,93.06666666666666,10,1762.6666666666665,49,35.97278911564626,0.2482602118003026,0.6989409984871408,0.052798789712556735,3,1.0842484151310645,0.6989409984871408,0.2482602118003026,0.45068078668683814,exploration_open_world
76561198878881287,49.1,4,320.26666666666665,4,171.76666666666668,1,541.1333333333333,9,60.12592592592593,0.09073549340889492,0.5918442774424049,0.3174202291487003,3,1.2874981890172694,0.5918442774424049,0.3174202291487003,0.2744240482937046,exploration_open_world
76561198896959279,69.8,5,169.18333333333334,1,62.11666666666666,2,301.1,8,37.6375,0.23181667220192625,0.5618842023690911,0.20629912542898257,3,1.4259646618372384,0.5618842023690911,0.23181667220192625,0.33006753016716484,exploration_open_world
76561198902455098,1025.7333333333333,15,812.35,23,433.26666666666665,26,2271.3500000000004,64,35.489843750000006,0.4515963340450979,0.35765073634622574,0.19075292960867615,3,1.5044060504025827,0.4515963340450979,0.35765073634622574,0.09394559769887217,exploration_rpg
76561198970240859,28.783333333333335,5,77.83333333333333,8,4.233333333333333,1,110.85,14,7.917857142857143,0.2596602014734627,0.7021500526236656,0.038189745902871754,3,1.0432180925406984,0.7021500526236656,0.2596602014734627,0.4424898511502029,exploration_open_world
76561198978278981,1010.7833333333333,6,68.85,9,26.55,5,1106.1833333333332,20,55.309166666666655,0.9137575145771498,0.06224103900800049,0.024001446414849862,3,0.4973775408089462,0.9137575145771498,0.06224103900800049,0.8515164755691493,exploration_rpg
76561198979264617,307.5833333333333,5,291.28333333333336,4,28.933333333333334,1,627.8,10,62.779999999999994,0.4899384092598492,0.463974726558352,0.04608686418179888,3,1.2229390241279832,0.4899384092598492,0.463974726558352,0.025963682701497237,exploration_rpg
76561198992448737,645.3,33,72.53333333333333,11,101.2,14,819.0333333333333,58,14.121264367816092,0.7878800211631598,0.08855968418053803,0.12356029465630215,3,0.9534504226442815,0.7878800211631598,0.12356029465630215,0.6643197265068577,exploration_rpg
76561198994072114,601.3833333333333,9,1840.3333333333335,28,42.45,3,2484.1666666666665,40,62.104166666666664,0.24208654813820868,0.7408252264340827,0.017088225427708825,3,0.9163549925329235,0.7408252264340827,0.24208654813820868,0.498738678295874,exploration_open_world
76561198999925392,61.05,3,90.18333333333334,6,18.616666666666667,3,169.85000000000002,12,14.154166666666669,0.3594347954077126,0.5309586890393484,0.10960651555293885,3,1.3651369664821782,0.5309586890393484,0.3594347954077126,0.17152389363163578,exploration_open_world
76561199014331670,160.25,9,1453.85,46,146.3,16,1760.3999999999999,71,24.7943661971831,0.09103044762553966,0.8258634401272438,0.08310611224721655,3,0.8409569019940755,0.8258634401272438,0.09103044762553966,0.7348329925017041,exploration_open_world
76561199026156214,0.0,0,172.78333333333333,14,7.55,2,180.33333333333334,16,11.270833333333334,0.0,0.9581330868761552,0.04186691312384473,2,0.25078739681199563,0.9581330868761552,0.04186691312384473,0.9162661737523105,exploration_open_world
76561199033784787,1.9,3,998.0166666666667,20,26.8,2,1026.7166666666667,25,41.068666666666665,0.00185055922601172,0.972046815901823,0.026102624872165317,3,0.19384896151617528,0.972046815901823,0.026102624872165317,0.9459441910296577,exploration_open_world
76561199036842812,220.11666666666667,5,1396.0,24,37.05,4,1653.1666666666667,33,50.0959595959596,0.1331485028732735,0.8444399637060187,0.02241153342070773,3,0.7161081454081679,0.8444399637060187,0.1331485028732735,0.7112914608327452,exploration_open_world
