steamid,combat,exploration,puzzle,hours_combat,hours_exploration,hours_puzzle,games_combat,games_exploration,games_puzzle,total_playtime,num_games,avg_playtime_per_game,diversity,entropy,dominance,second_max,gap,target
76561198448604074,0.278790082142659,0.6735960847181949,0.04761383313914609,530.4027777777778,1281.5277777777778,90.58611111111111,42.666666666666664,53.166666666666664,11.166666666666666,1902.5166666666669,107.0,17.78052959501558,3,1.1068623332996492,0.6735960847181949,0.278790082142659,0.3948060025755359,exploration
76561198677073705,0.0,0.0,1.0,0.0,0.0,4.483333333333333,0.0,0.0,2.0,4.483333333333333,2.0,2.2416666666666667,1,-0.0,1.0,0.0,1.0,puzzle
76561198681768628,0.44986200551977923,0.10119595216191352,0.44894204231830726,8.15,1.8333333333333333,8.133333333333333,6.5,1.5,1.0,18.116666666666667,9.0,2.012962962962963,3,1.3715786174007745,0.44986200551977923,0.44894204231830726,0.0009199632014719739,combat
76561198688946192,0.023992756903576277,0.7885921231326392,0.18741511996378452,0.8833333333333333,29.033333333333335,6.9,0.5,2.5,1.0,36.81666666666667,4.0,9.204166666666667,3,0.8520583084816703,0.7885921231326392,0.18741511996378452,0.6011770031688546,exploration
76561198698268684,0.15824175824175826,0.12637362637362637,0.7153846153846154,2.4000000000000004,1.9166666666666665,10.85,2.5,3.0,1.5,15.166666666666666,7.0,2.1666666666666665,3,1.1436996621661413,0.7153846153846154,0.15824175824175826,0.5571428571428572,puzzle
76561198722267029,0.4544675380329976,0.5052496250267837,0.04028283694021855,35.35,39.3,3.1333333333333333,3.0,3.0,1.0,77.78333333333335,7.0,11.111904761904764,3,1.2013654378925809,0.5052496250267837,0.4544675380329976,0.05078208699378611,exploration
76561198722776476,0.07426099495313626,0.07426099495313626,0.8514780100937275,1.7166666666666666,1.7166666666666666,19.683333333333334,0.5,0.5,2.0,23.116666666666667,3.0,7.705555555555556,3,0.7546511810923224,0.8514780100937275,0.07426099495313626,0.7772170151405913,puzzle
76561198734942039,0.47748551047703974,0.15927329469460544,0.3632411948283549,35.7,11.908333333333333,27.15833333333333,1.5,1.0,3.5,74.76666666666667,6.0,12.46111111111111,3,1.4620617156427815,0.47748551047703974,0.3632411948283549,0.11424431564868487,combat
76561198735263241,0.6934434022635438,0.2768453001298155,0.02971129760664071,210.70277777777778,84.11944444444444,9.027777777777779,16.833333333333332,13.333333333333334,1.8333333333333333,303.84999999999997,31.999999999999996,9.4953125,3,1.0299151772378738,0.6934434022635438,0.2768453001298155,0.41659810213372833,combat
76561198743664500,0.9534769432385944,0.00417724629371775,0.042345810467687775,194.01666666666665,0.8500000000000001,8.616666666666667,3.5,1.5,1.0,203.48333333333332,6.0,33.913888888888884,3,0.29171247168049164,0.9534769432385944,0.042345810467687775,0.9111311327709066,combat
