steamid,hours_puzzle_narrative,games_puzzle_narrative,hours_puzzle_spatial,games_puzzle_spatial,hours_puzzle_logic,games_puzzle_logic,total_playtime,num_games,avg_playtime_per_game,puzzle_narrative,puzzle_spatial,puzzle_logic,diversity,entropy,dominance,second_max,gap,target
76561198902455098,96.16666666666667,14,95.1,6,59.166666666666664,9,250.4333333333333,29,8.635632183908045,0.384001064820977,0.379741780913084,0.23625715426593905,3,1.5524861684705997,0.384001064820977,0.379741780913084,0.004259283907892986,puzzle_narrative
76561198970240859,0.0,0,16.716666666666665,2,8.466666666666667,2,25.18333333333333,4,6.2958333333333325,0.0,0.6637988087359364,0.33620119126406356,2,0.9211370324154727,0.6637988087359364,0.33620119126406356,0.3275976174718729,puzzle_spatial
76561198978278981,0.0,0,11.700000000000001,3,5.2,1,16.900000000000002,4,4.2250000000000005,0.0,0.6923076923076923,0.30769230769230765,2,0.8904916402194913,0.6923076923076923,0.30769230769230765,0.38461538461538464,puzzle_spatial
76561198979264617,1.1666666666666667,1,5.433333333333333,2,0.0,0,6.6,3,2.1999999999999997,0.1767676767676768,0.8232323232323232,0.0,2,0.6729546264799154,0.8232323232323232,0.1767676767676768,0.6464646464646464,puzzle_spatial
76561198992448737,2.9833333333333334,4,13.316666666666666,2,8.083333333333332,3,24.383333333333333,9,2.7092592592592593,0.12235133287764867,0.5461380724538619,0.33151059466848937,3,1.3754828981160103,0.5461380724538619,0.33151059466848937,0.21462747778537256,puzzle_spatial
76561198994072114,19.766666666666666,2,24.2,3,33.266666666666666,3,77.23333333333333,8,9.654166666666667,0.2559343979283556,0.31333621061717737,0.430729391454467,3,1.5511983678042773,0.430729391454467,0.31333621061717737,0.11739318083728961,puzzle_logic
76561198999925392,7.366666666666667,2,13.433333333333334,3,2.783333333333333,2,23.583333333333336,7,3.3690476190476195,0.3123674911660777,0.5696113074204947,0.11802120141342755,3,1.3507077602720918,0.5696113074204947,0.3123674911660777,0.257243816254417,puzzle_spatial
76561199014331670,44.88333333333333,6,118.31666666666666,8,185.23333333333332,16,348.4333333333333,30,11.614444444444443,0.12881469434612075,0.3395675882521764,0.5316177174017029,3,1.3945719189879886,0.5316177174017029,0.3395675882521764,0.19205012914952652,puzzle_logic
76561199026156214,5.966666666666667,1,13.966666666666667,2,2.1666666666666665,2,22.1,5,4.42,0.26998491704374056,0.6319758672699849,0.0980392156862745,3,1.2569000107955746,0.6319758672699849,0.26998491704374056,0.36199095022624433,puzzle_spatial
76561199033784787,7.0,2,48.65,5,8.933333333333334,5,64.58333333333333,12,5.381944444444444,0.10838709677419356,0.7532903225806452,0.1383225806451613,3,1.0501043442421862,0.7532903225806452,0.1383225806451613,0.6149677419354839,puzzle_spatial
